Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm)
Traditional Strength Training,4/10/2023 8:14,4/10/2023 9:14,0:59:03,518.73,395.57,166,117.37,,,1185,0.334
Running,4/10/2023 6:27,4/10/2023 7:11,0:43:43,637.45,536.42,178,152.6,4.07,5.58,6454,2.46
Running,4/7/2023 10:07,4/7/2023 10:37,0:30:37,432.4,352.68,164,144.24,2.69,5.26,4470,2.43
Traditional Strength Training,4/7/2023 8:30,4/7/2023 9:26,0:55:40,418.71,301.25,147,100.36,,,1525,0.457
Traditional Strength Training,4/6/2023 6:13,4/6/2023 6:50,0:37:08,280.72,195.98,157,100.61,,,950,0.426
Running,4/5/2023 7:08,4/5/2023 7:35,0:26:48,374.96,306.01,168,143.07,2.3,5.14,3808,2.37
Traditional Strength Training,4/4/2023 7:18,4/4/2023 8:06,0:48:35,333.18,251.42,148,97.82,,,1089,0.374
Traditional Strength Training,4/3/2023 12:30,4/3/2023 13:26,0:56:00,394.6,279.13,144,96.32,,,1015,0.302
Running,4/3/2023 6:30,4/3/2023 6:57,0:27:18,377.88,306.44,165,139.99,2.36,5.18,3866,2.36
Cycling,4/2/2023 16:02,4/2/2023 16:09,0:06:43,64.18,30.32,104,103.25,0.853,7.61,47,0.116
Cycling,4/2/2023 13:26,4/2/2023 13:39,0:12:45,84.51,42.62,107,81.69,1.22,5.72,130,0.17
Traditional Strength Training,4/1/2023 11:45,4/1/2023 12:46,1:01:52,394.53,285.92,130,91.88,,,1179,0.318
Running,3/31/2023 10:20,3/31/2023 10:52,0:31:31,444.7,364.81,162,147.15,2.78,5.28,4618,2.44
Traditional Strength Training,3/30/2023 10:27,3/30/2023 11:40,1:12:43,511.79,366.79,151,94.19,,,903,0.207
Running,3/29/2023 6:37,3/29/2023 7:03,0:26:30,349.31,280.5,160,137.51,2.33,5.27,3870,2.43
Traditional Strength Training,3/28/2023 13:31,3/28/2023 15:04,1:32:45,655.7,482.19,146,89.91,,,1331,0.239
Traditional Strength Training,3/27/2023 7:26,3/27/2023 7:46,0:20:08,144.91,92.14,103,77.77,,,9,0.007
Traditional Strength Training,3/27/2023 6:31,3/27/2023 7:14,0:42:52,288.85,215.72,149,93.28,,,599,0.233
Running,3/26/2023 13:17,3/26/2023 13:42,0:25:10,329.03,260.75,151,131.08,2.11,5.04,3534,2.34
Traditional Strength Training,3/25/2023 8:08,3/25/2023 9:43,1:34:47,654.98,473.49,141,98.22,,,1851,0.325
Traditional Strength Training,3/24/2023 13:27,3/24/2023 14:40,1:13:08,547.17,403.02,160,103.47,,,1022,0.233
Running,3/24/2023 10:40,3/24/2023 10:51,0:10:43,164.46,120.96,172,148.84,1.03,5.75,1568,2.44
Cycling,3/23/2023 17:24,3/23/2023 17:44,0:20:00,261.08,205,154,126,5.29,15.87,10,0.008
Running,3/23/2023 14:00,3/23/2023 14:06,0:05:15,89.71,60,151,132.98,0.498,5.69,775,2.46
Running,3/23/2023 12:22,3/23/2023 12:28,0:05:20,89.02,57.15,145,131.88,0.508,5.71,848,2.65
Running,3/22/2023 8:06,3/22/2023 8:26,0:19:44,316.41,254.37,179,155.67,1.91,5.82,2869,2.42
Traditional Strength Training,3/22/2023 6:41,3/22/2023 7:41,0:59:54,431.17,328.28,147,96.94,,,1044,0.29
Traditional Strength Training,3/21/2023 6:54,3/21/2023 8:19,1:24:53,559.86,418.61,164,92.23,,,1193,0.234
Running,3/19/2023 12:56,3/19/2023 13:38,0:41:29,580.53,487.2,180,150.77,3.3,4.77,5223,2.1
Running,3/18/2023 9:48,3/18/2023 9:53,0:04:41,90.29,56.78,173,157.1,0.475,6.07,866,3.07
Running,3/18/2023 9:45,3/18/2023 9:48,0:02:51,33.55,28.3,148,135.53,0.245,5.14,416,2.42
Traditional Strength Training,3/18/2023 8:13,3/18/2023 9:30,1:16:21,508.08,383.51,141,94.86,,,1153,0.252
Traditional Strength Training,3/17/2023 7:57,3/17/2023 9:11,1:13:52,532.59,382.78,146,104.12,,,1507,0.34
Running,3/16/2023 12:47,3/16/2023 12:59,0:11:31,165.26,120.55,167,138.3,0.997,5.19,1615,2.34
Traditional Strength Training,3/15/2023 6:11,3/15/2023 7:21,1:10:03,494.31,353.17,145,89.41,,,1154,0.275
Traditional Strength Training,3/14/2023 7:01,3/14/2023 7:44,0:42:34,297.29,202.15,144,93.14,,,566,0.222
Running,3/13/2023 15:49,3/13/2023 15:55,0:05:48,99.6,63.72,168,139.37,0.503,5.2,806,2.31
Cycling,3/13/2023 14:36,3/13/2023 15:06,0:30:00,385.23,308,156,124.53,8.41,16.82,339,0.188
Traditional Strength Training,3/12/2023 8:49,3/12/2023 9:54,1:05:05,473.94,363.55,150,105.68,,,1141,0.292
Running,3/11/2023 8:02,3/11/2023 8:32,0:29:08,491.19,414.29,189,178.09,3.12,6.41,4321,2.47
Traditional Strength Training,3/10/2023 8:06,3/10/2023 9:10,1:03:46,494.34,362.48,161,103.43,,,1259,0.329
Traditional Strength Training,3/8/2023 5:46,3/8/2023 7:00,1:13:58,536.32,394.77,153,101.5,,,1172,0.264
Traditional Strength Training,3/7/2023 6:56,3/7/2023 7:55,0:58:37,524.33,402.55,161,115.93,,,586,0.167
Running,3/4/2023 9:00,3/4/2023 9:29,0:29:23,470.1,392.72,187,174.42,3.09,6.3,4428,2.51
Traditional Strength Training,3/3/2023 6:00,3/3/2023 6:54,0:54:48,471.79,357.18,166,115.07,,,1076,0.327
Traditional Strength Training,3/1/2023 11:06,3/1/2023 12:03,0:57:34,458.41,339.8,156,106.64,,,708,0.205
Running,2/28/2023 17:09,2/28/2023 17:20,0:10:51,173.42,131.6,184,154.45,0.941,5.2,1461,2.24
Traditional Strength Training,2/28/2023 6:56,2/28/2023 7:50,0:53:57,432.84,315.52,151,108.92,,,677,0.209
